City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
22,Bagrami,34.4938,69.2743,67.8,43,0,2.73,AF,2022-09-23 20:30:08,clear sky
23,Korla,41.7597,86.1469,70.88,15,10,7.05,CN,2022-09-23 20:30:12,clear sky
24,Tukrah,32.5341,20.5791,74.46,76,40,24.92,LY,2022-09-23 20:30:13,scattered clouds
25,Olafsvik,64.8945,-23.7142,49.08,89,76,14.23,IS,2022-09-23 20:28:14,broken clouds
26,Vila Velha,-20.3297,-40.2925,75.15,78,75,17.0,BR,2022-09-23 20:30:14,broken clouds
27,Codrington,-38.2667,141.9667,47.57,64,68,12.68,AU,2022-09-23 20:30:18,broken clouds
28,Yellowknife,62.456,-114.3525,57.72,44,20,12.66,CA,2022-09-23 20:28:11,few clouds
29,Khandyga,62.6667,135.6,25.81,76,81,5.61,RU,2022-09-23 20:30:19,broken clouds
30,Paulo Afonso,-9.4061,-38.2147,87.3,39,40,4.92,BR,2022-09-23 20:30:19,scattered clouds
31,Kapaa,22.0752,-159.319,84.18,72,40,8.05,US,2022-09-23 20:29:33,scattered clouds
32,Butaritari,3.0707,172.7902,81.36,70,99,13.13,KI,2022-09-23 20:30:20,overcast clouds
33,Jamestown,42.097,-79.2353,55.02,47,0,9.22,US,2022-09-23 20:30:21,clear sky
34,Zachary,30.6485,-91.1565,95.7,51,0,5.75,US,2022-09-23 20:30:22,clear sky
35,Guaratinga,-16.5667,-39.5667,80.58,66,14,10.85,BR,2022-09-23 20:30:23,few clouds
36,Lompoc,34.6391,-120.4579,92.79,45,20,6.91,US,2022-09-23 20:28:25,few clouds
37,Kavaratti,10.5669,72.642,81.03,76,39,12.68,IN,2022-09-23 20:30:24,scattered clouds
38,La Ronge,55.1001,-105.2842,66.42,48,75,9.22,CA,2022-09-23 20:30:14,broken clouds
39,Mar Del Plata,-38.0023,-57.5575,61.09,76,0,11.5,AR,2022-09-23 20:30:25,clear sky
40,Kamennogorsk,60.9545,29.1339,41.13,95,33,3.56,RU,2022-09-23 20:30:25,scattered clouds
41,Myitkyina,25.3833,97.4,72.57,100,100,1.21,MM,2022-09-23 20:30:26,overcast clouds
42,Bathsheba,13.2167,-59.5167,86.61,74,20,17.27,BB,2022-09-23 20:29:27,few clouds
43,Bluff,-46.6,168.3333,49.8,82,80,9.24,NZ,2022-09-23 20:30:26,broken clouds
44,Lady Frere,-31.7031,27.2329,54.72,77,86,5.64,ZA,2022-09-23 20:31:27,overcast clouds
45,Qaqortoq,60.7167,-46.0333,48.11,98,100,9.33,GL,2022-09-23 20:31:28,light rain
46,Osterholz-Scharmbeck,53.2333,8.8,55.81,92,100,4.09,DE,2022-09-23 20:31:28,moderate rain
47,Honningsvag,70.9821,25.9704,49.75,71,40,14.97,NO,2022-09-23 20:31:28,light rain
